__time,/fmu/in/actuator_motors/control[0],/fmu/in/actuator_motors/control[10],/fmu/in/actuator_motors/control[11],/fmu/in/actuator_motors/control[1],/fmu/in/actuator_motors/control[2],/fmu/in/actuator_motors/control[3],/fmu/in/actuator_motors/control[4],/fmu/in/actuator_motors/control[5],/fmu/in/actuator_motors/control[6],/fmu/in/actuator_motors/control[7],/fmu/in/actuator_motors/control[8],/fmu/in/actuator_motors/control[9],/fmu/in/actuator_motors/reversible_flags,/fmu/in/actuator_motors/timestamp,/fmu/in/actuator_motors/timestamp_sample,/fmu/in/actuator_servos/control[0],/fmu/in/actuator_servos/control[1],/fmu/in/actuator_servos/control[2],/fmu/in/actuator_servos/control[3],/fmu/in/actuator_servos/control[4],/fmu/in/actuator_servos/control[5],/fmu/in/actuator_servos/control[6],/fmu/in/actuator_servos/control[7],/fmu/in/actuator_servos/timestamp,/fmu/in/actuator_servos/timestamp_sample,/fmu/out/vehicle_attitude/delta_q_reset[0],/fmu/out/vehicle_attitude/delta_q_reset[1],/fmu/out/vehicle_attitude/delta_q_reset[2],/fmu/out/vehicle_attitude/delta_q_reset[3],/fmu/out/vehicle_attitude/q[0],/fmu/out/vehicle_attitude/q[1],/fmu/out/vehicle_attitude/q[2],/fmu/out/vehicle_attitude/q[3],/fmu/out/vehicle_attitude/quat_reset_counter,/fmu/out/vehicle_attitude/timestamp,/fmu/out/vehicle_attitude/timestamp_sample
1745491932.844031,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990390062,0.045121554,-0.026238706,0.128074631,10.000000000,1745491932842781.000000000,1745491932842606.000000000
1745491932.844249,,,,,,,,,,,,,,,,0.040472325,-0.052786693,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932844068.000000000,0.000000000,,,,,,,,,,,
1745491932.844287,0.013336572,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932844149.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.853966,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990388870,0.045124307,-0.026240312,0.128082499,10.000000000,1745491932852795.000000000,1745491932852608.000000000
1745491932.854124,0.013817783,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932854030.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.854147,,,,,,,,,,,,,,,,0.040475216,-0.052789610,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932853962.000000000,0.000000000,,,,,,,,,,,
1745491932.864101,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990391135,0.045108046,-0.026250526,0.128069282,10.000000000,1745491932862785.000000000,1745491932862611.000000000
1745491932.864324,0.014297611,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932864160.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.864359,,,,,,,,,,,,,,,,0.040484782,-0.052767932,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932864079.000000000,0.000000000,,,,,,,,,,,
1745491932.874121,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990390718,0.045088816,-0.026260516,0.128076524,10.000000000,1745491932872785.000000000,1745491932872614.000000000
1745491932.874200,0.014776011,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932874101.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.874250,,,,,,,,,,,,,,,,0.040494658,-0.052741703,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932874023.000000000,0.000000000,,,,,,,,,,,
1745491932.884041,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990395725,0.045029473,-0.026250064,0.128061131,10.000000000,1745491932882791.000000000,1745491932882616.000000000
1745491932.884192,0.015252932,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932884107.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
